date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-04-25,3158.0468065510545,4150.02558530509,1582.738670145199,2941.8110620013395,4314.0,1635.0,5949.0,5732.764255450289
2020-04-26,3010.621039112083,4217.751578701637,1662.438444187624,2830.8110620013395,4401.0,1659.0,6060.0,5880.190022889261
2020-04-27,2867.9555062746226,4279.484317314445,1743.3712384122764,2777.8110620013395,4434.0,1679.0,6113.0,6022.855555726722
2020-04-28,2730.2185031855274,4335.170244493755,1825.4223143220622,2684.8110620013395,4522.0,1684.0,6206.0,6160.592558815817
2020-04-29,2597.5332845179346,4384.801424091357,1908.4763533920516,2679.8110620013395,4526.0,1685.0,6211.0,6293.2777774834085
2020-04-30,2469.9805383016615,4428.412229489473,1992.4182942102088,,,,,6420.830523699682
2020-05-01,2347.6013065367324,4466.07565220694,2077.1341032576715,,,,,6543.209755464612
2020-05-02,2230.400281713652,4497.899305365315,2162.511474922378,,,,,6660.410780287693
2020-05-03,2118.3493474519223,4524.02126565211,2248.4404488973128,,,,,6772.461714549423
2020-05-04,2011.391229680914,4544.605879820725,2334.813952499706,,,,,6879.419832320431
2020-05-05,1909.4431939690994,4559.839604594912,2421.528263437334,,,,,6981.367868032246
2020-05-06,1812.4005971616064,4569.9270860894485,2508.48337875029,,,,,7078.410464839739
2020-05-07,1720.1404655394515,4575.087252174506,2595.5833442873873,,,,,7170.670596461893
2020-05-08,1632.5247701087899,4575.549801304596,2682.7364905879585,,,,,7258.286291892555
2020-05-09,1549.4034429538115,4571.552030799393,2769.8555882481405,,,,,7341.407619047533
2020-05-10,1470.6172450311792,4563.335839446847,2856.857977523319,,,,,7420.193816970166
2020-05-11,1257.2662941687397,4688.529197484683,2945.01557034792,,,,,7633.544767832604
2020-05-12,1070.8527347229638,4784.680502106548,3035.277825171832,,,,,7819.95832727838
2020-05-13,909.5307214297111,4854.1669808931265,3127.1133596785057,,,,,7981.280340571632
2020-05-14,771.01403853323,4899.756771586404,3220.0402518817086,,,,,8119.7970234681125
2020-05-15,652.8217432412265,4924.358333546823,3313.6309852132927,,,,,8237.989318760116
2020-05-16,552.4612435881946,4930.836555599283,3407.5132628138645,,,,,8338.349818413148
2020-05-17,467.5524577340978,4921.890675289571,3501.367928977674,,,,,8423.258604267245
2020-05-18,395.90284050550287,4899.983157469974,3594.9250640258665,,,,,8494.90822149584
2020-05-19,335.54502505596577,4867.306925683083,3687.959111262294,,,,,8555.266036945377
2020-05-20,284.7481083222671,4825.779302197542,3780.2836514815326,,,,,8606.062953679075
2020-05-21,242.01175561194407,4777.053068210567,3871.74623817883,,,,,8648.799306389397
2020-05-22,206.05012158691835,4722.537393337596,3962.223547076828,,,,,8684.760940414424
2020-05-23,175.77059550643006,4663.4234904722225,4051.616976022688,,,,,8715.040466494911
2020-05-24,150.2507234738085,4600.711587820801,4139.848750706732,,,,,8740.560338527532
2020-05-25,128.71539462172714,4535.237129614552,4226.858537765062,,,,,8762.095667379614
2020-05-26,110.51554144386442,4467.69497889058,4312.600541666894,,,,,8780.295520557474
2020-05-27,95.10890936180661,4398.661115351632,4397.0410372879005,,,,,8795.702152639533
2020-05-28,82.04315509658443,4328.611616169056,4480.1562907357,,,,,8808.767906904755
2020-05-29,70.94123713603685,4257.93900873102,4561.930816134282,,,,,8819.869824865302
2020-05-30,61.48895993811315,4186.966180726187,4642.35592133704,,,,,8829.322102063226
2020-05-31,53.424432380999455,4115.9581344430035,4721.428495177337,,,,,8837.386629620341
2020-06-01,46.52923735212617,4045.1318223579515,4799.150002291261,,,,,8844.281824649213
2020-06-02,40.6210536863977,3974.664359896106,4875.525648418836,,,,,8850.190008314941
2020-06-03,35.54751859181656,3904.6998549174978,4950.563688492024,,,,,8855.263543409521
2020-06-04,31.181138164354813,3835.355070114327,5024.274853722657,,,,,8859.629923836985
2020-06-05,27.41507093950441,3766.7241142590365,5096.671876802798,,,,,8863.395991061834
2020-06-06,24.159639424358918,3698.8823240344705,5167.76909854251,,,,,8866.65142257698
2020-06-07,21.339445187172018,3631.8894749515102,5237.582141862656,,,,,8869.471616814166
2020-06-08,18.8909828787195,3565.79243763826,5306.127641484359,,,,,8871.920079122618
2020-06-09,16.76066660782936,3500.6273756452542,5373.423019748255,,,,,8874.05039539351
2020-06-10,14.903195735463067,3436.421565726263,5439.486300539612,,,,,8875.907866265876
2020-06-11,13.280200919973318,3373.19490624195,5504.335954839415,,,,,8877.530861081364
2020-06-12,11.859120974150635,3310.961168551586,5567.990772475601,,,,,8878.951941027188
2020-06-13,10.612270062040237,3249.7290363151346,5630.469755624164,,,,,8880.198791939298
2020-06-14,9.516061923627632,3189.5029696901797,5691.792030387532,,,,,8881.295000077711
2020-06-15,8.550363727095075,3130.283924864443,5751.9767734098,,,,,8882.260698274244
2020-06-16,7.6979570687134515,3072.0699539100956,5811.043151022529,,,,,8883.113104932625
2020-06-17,6.944087616011735,3014.8567055434487,5869.010268841877,,,,,8883.866974385326
2020-06-18,6.276088158828552,2958.6378437490753,5925.8971300934345,,,,,8884.53497384251
2020-06-19,5.683062725864311,2903.4053980206972,5981.722601254777,,,,,8885.127999275475
2020-06-20,5.155621112511669,2849.1500570990456,6036.505383789781,,,,,8885.655440888826
2020-06-21,4.685655688139099,2795.861415281056,6090.263991032144,,,,,8886.1254063132
2020-06-22,4.266153232198823,2743.5281794046614,6143.016729364478,,,,,8886.54490876914
2020-06-23,3.8910361252199204,2692.1383428538807,6194.781683022238,,,,,8886.92002587612
2020-06-24,3.555028011413305,2641.6793320501383,6245.576701939787,,,,,8887.256033989925
2020-06-25,3.253539980173649,2592.1381298626447,6295.41939215852,,,,,8887.557522021165
2020-06-26,2.982573969266417,2543.5013796342387,6344.327108397833,,,,,8887.828488032072
2020-06-27,2.738640667747473,2495.7554728829405,6392.31694845065,,,,,8888.07242133359
2020-06-28,2.518689524007089,2448.886623371099,6439.405749106232,,,,,8888.292372477332
